胜山馆|三厩|同在东北北端沿海，地理位置最接近
名生城|船冈城|同属陆前地区，地理位置相近
白石城|岩切城|同在陆奥南部内陆，距离较近
凑城|土崎湊|同在秋田沿海地区，港口地理接近
尾浦城|酒田城|同为庄内沿海城邑，空间位置相近
小山城|宇都宫|同在下野一带，内陆位置接近
稻村城|久留里城|同在房总半岛腹地，地理位置近似
河越城|川越城|同名同地，位置重合
八王子城|三崎城|同属关东南部，距离相对较近
玉绳城|镰仓|同在相模湾一带山城地带，空间位置接近
韭山城|小田原城|同在相模国西部山地，距离较近
橡尾城|直江津|同为越后北部临海区域，位置接近
富山城|富田|同在北陆日本海侧内湾附近，位置较近
尾山城|金津|同为加贺一带平野城堡，位置接近
金崎城|敦贺|同在若狭湾口附近，地理位置相近
户石城|饭山|同属北信浓地区山间城，空间位置接近
饭田城|妻笼|同在木曾–伊那谷一带山间通道，位置接近
踯躅崎馆|甲府城|同在甲府盆地核心，空间位置几乎重合
下山城|韮崎|同在甲斐北西部盆地边缘，位置接近
松仓城|古川|同属飞驒区域山间盆地，地理相近
兴国寺城|骏府城|同在骏河湾附近，骏府为地区中心
曳马城|滨松城|曳马为滨松前身，同一地点
二股城|挂川城|同属远江沿线要地，空间上相对接近
高天神城|挂川城|同在远江中部丘陵，位置相近
长篠城|冈崎城|同在三河内陆，距离较近
清洲城|清须城|同名同地，位置重合
鸣海城|那古野|同属尾张中部平野，地理相近
小牧山城|那古野|同在尾张中部，小牧与那古野距离较短
稻叶山城|岐阜城|稻叶山城即岐阜城，位置相同
墨股城|岩村|同在美浓东部山间，位置接近
曾根城|可儿|同属美浓中部木曾川流域，空间位置相近
大河内城|津|同在伊势湾沿岸，位置接近
今滨城|盐津|同在琵琶湖北岸～湖北水运据点，位置接近
阪本城|坂本|同在琵琶湖南西岸，位置几乎重合
多闻山城|伊贺上野城|同属大和伊贺山地，空间位置接近
大和郡山城|郡山|同一城市，位置重合
二条城|京|同在京都市区，位置几乎重合
丹波龟山城|龟冈|同属丹波南部，龟山即今龟冈附近
八上城|龟冈|同在丹波国东南部丘陵，位置较近
福知山城|朝来|同为丹波–但马边界附近山城，位置较近
饭盛城|枚方|同在河内国北部丘陵一带，位置接近
石山本愿寺|大坂御坊|同在大坂石山地区，位置几乎重合
芥川城|芥川山城|同名同地，高槻芥川一带
有冈城|伊丹|有冈城即今伊丹附近，位置重合
杂贺城|纪伊湊|同属纪伊国北部沿海，近日和歌山港
鸟取城|贺露|鸟取市近郊港口，空间位置最接近
出石城|但马|出石位于但马国内陆，与但马区域中的城最接近
三刀屋城|安来|同在出云国東部・斐伊川流域附近，位置相近
白鹿城|松江（白潟）|白潟为松江附近港町，均属出云国沿海核心
益田城|三隅湊|同在石见西部日本海沿岸，空间位置接近
山吹城|江津|同在石见中部沿岸，距离较近
置盐城|高砂|同属播磨沿岸，姬路～高砂一带
上月城|室村|同为播磨西北山间区域，位置较近
三星城|河原|同在美作–因幡边界附近山间，位置接近
砥石山城|吉备津|同在备前・备中交界地带冈山平野周边
备中松山城|吉田郡山城|同属中国山地中部山城，空间位置相近
备中高松城|冈山城|高松城在冈山平野，距冈山城最近
三原城|三原|同名同地，濑户内沿岸港城
甲山城|幸山城|同在备后内陆丘陵区域，位置接近
佐东银山城|可部|同属安芸佐东郡一带山城，位置接近
山口城|山口|同一地名，同一内陆盆地位置
且山城|萩城|同在周防长门一带日本海侧，萩是近邻中心城
宇和岛城|宇和岛|同名同地，南予沿海城
抚养城|德岛|同属阿波东部，抚养在德岛附近
胜瑞城|德岛|胜瑞为细川旧城，近德岛平野
白地城|德岛|同为阿波吉野川流域内陆山城，位置相近
安芸城|浦户|土佐湾沿岸，浦户为高知港，位置接近
中村城|中村御所|同在土佐西部四万十川下游，中村地区
金石城|立花山城|同属筑前博多湾一带，立花山最近
岩屋城|立花山城|同在筑前内陆，距离很近
久留米城|久留米|同名同地，筑后川流域
大村城|佐嘉城|同为肥前中部～西部，空间位置相近
平户城|口之津|同为长崎一带外海港口，位置相对接近
八代城|八代|同名同地，肥后南部球磨川河口
小仓城|门司|同在丰前北九州海峡口，位置接近
府内城|府中城|丰后府内即大分，府中为其附近同名用法
佐伯城|佐伯|同名同地，丰后南部沿岸
都於郡城|都之城|同在日向南部内陆，都城盆地
饫肥城|油津|同属日向南部，油津为饫肥外港
县城|宫崎|同在日向中部，宫崎为近邻中心
大隅高山城|高山城|同为大隅高山一带山城，位置重合
