类别,所属域,太阁原词,例句,我们侧名,值类型,语义,参数,档,载体,存档键,实现锚点,频率
域,—,主命,調查:(人物::主人公.承擔主命)!=(主命::獲取貴重品（忍者）),Quest,域,主命/任务,—,T3,13主命,13,—,169
域,—,主命屬性,調查:(環境變量::5270.88)-(主命屬性::5288.80),QuestAttr,域,主命属性,—,T3,13主命,13,—,2
域,—,事件,更新:(事件::ECF00000_1700)(已發生),Event,域,事件状态查询,—,T1,Ctx,lwn_scn_state,—,5210
域,—,事件主命,調查:(狀況::8)==(事件主命::半兵衛勧誘),EventQuest,域,事件主命,—,T3,13主命,13,—,12
域,—,事件標誌,更新:(事件標誌::38)(成立),Flag,域,旗标,—,T3,旗标仓,lwn_scn_state,—,1384
域,—,事件發生狀態,調查:(遊戲通關種類::5830.134)!=(事件發生狀態::6089.73),EventState,域,事件状态,—,T3,旗标仓,lwn_scn_state,—,1
域,—,交易品,代入交易品Ａ:(交易品::蜜柑),TradeGood,域,交易品,—,T2,引擎 / 数据包,无,—,278
域,—,人物,調查:(人物::主人公)!=(人物::前田利家),Hero,域,角色,—,T1,引擎,无,—,38143
域,—,人物類別,調查:(人物::人物Ａ.類別)!=(人物類別::泛用對手),HeroKind,域,人物类别,—,T1,无,无,—,14
域,—,儲存號,更新:(儲存號::謀反事件用人物)(人物Ａ),GlobalSlot,域,存档槽,—,T1,GlobalSlot,lwn_scn_state,—,207
域,—,勢力,更新:(大名家::織田信長.未知8(勢力::齋藤義龍))(59),Kingdom,域,势力,—,T1,引擎,无,—,4712
域,—,卡,更新:(人物::豐臣秀吉.卡持有(卡::千成瓢箪))(真偽::真),Card,域,技能卡,—,T3,数据包 / 外置仓,lwn_scn_attr,—,619
域,—,商家,代入商家Ａ:(商家::主人公商家),MerchantOrg,域,商家组织,—,T3-预留,数据包 / 外置仓,lwn_scn_attr,—,101
域,—,國,調查:(城::城Ｂ.所屬國)!=(國::播磨),Province,域,国/区域,—,T2,数据包,无,—,1291
域,—,地方,調查:(城::城Ａ.所在地方)!=(地方::近畿),Region,域,地方/区域,—,T2,数据包,无,—,312
域,—,城,調查:(城::城Ａ)!=(城::三木),Town,域,据点（城）,—,T1,引擎,无,—,9738
域,—,場面,調查:(狀況::場面)==(場面::自宅),Scene,域,场面/演出形态,—,T2,05演出,无,—,43
域,—,大名家,調查:(人物::主人公.所屬大名家)!=(大名家::德川家康),Clan,域,家族/势力,—,T1,引擎,无,—,22681
域,—,天氣,更新:(狀況::天氣)(天氣::雲),Weather,域,天气,—,T2,引擎,无,—,47
域,—,官位,調查:(人物::發生人物.官位)>=(官位::正二位),CourtRank,域,官位,—,T3,17功勋,17,—,103
域,—,官職,更新:(人物::主人公.官職)(官職::無效),Office,域,官职,—,T3,17功勋,17,—,203
域,—,工作,調查:(人物::主人公.承擔工作)==(工作::買進寶物),Duty,域,工作,—,T3,外置仓,lwn_scn_attr,—,17
域,—,忍者衆,調查:(忍者衆::忍者衆Ａ)==(忍者衆::伊賀衆),NinjaOrg,域,忍者组织,—,T3-预留,数据包 / 外置仓,lwn_scn_attr,—,515
域,—,戰鬥結束種類,調查:(狀況::24)==(戰鬥結束種類::終結),BattleEndKind,域,战斗结束种类,—,T2,03战斗,无,—,7
域,—,據點,調查:(據點::發生據點)!=(據點::釜山之町),Settlement,域,据点,—,T1,引擎,无,—,3399
域,—,日數計數器,更新:(日數計數器::7)(0),Counter,域,天数计数,—,T3,计数器仓,lwn_scn_state,—,989
域,—,流派,更新:(人物::柳生石舟齋.劍術流派)(流派::新陰),School,域,流派（后续补充）,—,T3,数据包 / 外置仓,lwn_scn_attr,—,186
域,—,海賊衆,調查:(海賊衆::海賊衆Ａ)==(海賊衆::熊野水軍),PirateOrg,域,海贼组织,—,T3-预留,数据包 / 外置仓,lwn_scn_attr,—,661
域,—,物品,調查:(人物::主人公.装備武器)==(物品::村正),Item,域,物品,—,T1,引擎,无,—,567
域,—,物品類型,調查:(物品::物品Ａ.物品類型)==(物品類型::茶器),ItemKind,域,物品类型,—,T1,无,无,—,3
域,—,狀況,調查:(狀況::年)>=(1598),Situation,域,全局时间状态,—,T2,引擎,无,—,1932
域,—,環境變量,調查:(環境變量::5270.88)-(主命屬性::5288.80),EnvVar,域,环境变量,—,T1,Variable,lwn_scn_state,—,1
域,—,町,調查:(人物::主人公.所屬據點)!=(町::松江),TownDistrict,域,据点（町）,—,T1,引擎,无,—,154
域,—,真偽,更新:(人物::豐臣秀吉.卡持有(卡::千成瓢箪))(真偽::真),Bool,域,布尔,—,T1,无,无,—,1386
域,—,砦,調查:(海賊衆::熊野水軍.本據)==(砦::鳥羽),Castle,域,据点（砦）,—,T1,引擎,无,—,336
域,—,背景音樂,調查:(背景音樂::5452.92)>=(主命屬性::5324.82),Bgm,域,背景音乐,—,T3,数据包,无,—,1
域,—,變量,代入ｄ:(變量::ｄ)-(1496),Variable,域,剧本变量,—,T1,Variable,lwn_scn_state,—,2105
域,—,身份,更新:(人物::柳生石舟齋.身份)(身份::師範),Identity,域,身份枚举,—,T3,17功勋,17,—,2357
域,—,軍團,調查:(軍團::軍團１)==(軍團::主人公軍團),Army,域,军团,—,T1,引擎,无,—,2432
域,—,軍團方針,調查:(軍團::主人公軍團.8)==(軍團方針::歸還),ArmyDoctrine,域,军团方针,—,T3,02战略,lwn_scn_attr,—,19
域,—,遊戲通關種類,調查:(遊戲通關種類::5830.134)!=(事件發生狀態::6089.73),EndingKind,域,通关种类,—,T3,外置仓,lwn_scn_attr,—,1
域,—,里,調查:(人物::人物Ｅ.所屬據點)==(里::里Ｅ),Village,域,据点（里）,—,T1,引擎,无,—,92
属性,主命屬性 / 事件發生狀態 / 環境變量 / 背景音樂 / 遊戲通關種類,（純數字轉儲對）,調查:(環境變量::5270.88)-(主命屬性::5288.80),ending.raw_ref / Event.raw_ref / env.raw_ref / QuestDef.raw_ref / bgm.raw_ref,数字,TK5 转储的未具名原始 ID 对（主体与属性位均为纯数字，无语义）——翻译时原样保留，不落我们侧字段,—,T0,无,无,解析碎片原样保留,6
属性,交易品,3,調查:(交易品::玻璃瓶.3)==(1),Item.attr_3,数字,交易品开关位（==1 / !=1，随 商業圈数 门控）,—,T3,外置仓,lwn_scn_attr,编号字段原样保留,53
属性,交易品,交易品數量,調查:(交易品::蕎麦.交易品數量)>(0),Item.count,数字,交易品數量,—,T3,外置仓,lwn_scn_attr,同前缀,217
属性,人物,118,調查:(人物::主人公.118)==(真偽::真),Hero.attr_118,布尔,主人公布尔位（== 真偽::真，事件门控）,—,T3,外置仓,lwn_scn_attr,编号字段原样保留,3
属性,人物,148,調查:(人物::主人公.148)==(0),Hero.attr_148,数字,主人公数值位（==0，与 事件標誌 同段门控）,—,T3,外置仓,lwn_scn_attr,编号字段原样保留,3
属性,人物,154,調查:(人物::主人公.154)==(1),Hero.attr_154,数字,主人公数值位（==1，每月处理门控）,—,T3,外置仓,lwn_scn_attr,编号字段原样保留,1
属性,人物,161,更新:(人物::主人公.161)(0),Hero.attr_161,数字,主人公数值槽（赋 0 / 200 / 1000，与 所持金 同段写入）,—,T3,外置仓,lwn_scn_attr,编号字段原样保留,4
属性,人物,176,調查:(人物::人物Ａ.176)==(真偽::真),Hero.attr_176,布尔,剑豪线布尔位（== 真偽::真/偽；主体为柳生/佐佐木等剑豪）,—,T3,外置仓,lwn_scn_attr,编号字段原样保留,35
属性,人物,205,更新:(人物::織田信長.205)(1154),Hero.attr_205,数字,人物数值槽（婚礼改名时从原人物整体拷贝；家督让位赋 1154）,—,T3,外置仓,lwn_scn_attr,编号字段原样保留,23
属性,人物,206,更新:(人物::織田信長.206)(1154),Hero.attr_206,数字,人物数值槽（与 205 成对拷贝/赋值）,—,T3,外置仓,lwn_scn_attr,编号字段原样保留,21
属性,人物,207,調查:(人物::主人公.207)>=(5),Hero.attr_207,数字,主人公数值槽（剑豪线门槛 >=5 / >=15 / >=25）,—,T3,外置仓,lwn_scn_attr,编号字段原样保留,6
属性,人物,94,調查:(人物::主人公.94)==(0),Hero.attr_94,数字,主人公数值槽（==0 / >500 / >4000）,—,T3,外置仓,lwn_scn_attr,编号字段原样保留,4
属性,人物,主人公道場規模,調查:(人物::主人公.主人公道場規模)<=(5),Hero.dojo_scale,数字,主人公道場規模,—,T3,外置仓,lwn_scn_attr,同名,2
属性,人物,主命期限,調查:(人物::主人公.主命期限)<=(50),Hero.quest_deadline,数字,主命期限（13）,—,T2,13主命,13,同前缀,17
属性,人物,主命狀態,調查:(人物::主人公.主命狀態)==(0),Hero.quest_state,数字,主命状态（13）,—,T2,13主命,13,同前缀,411
属性,人物,主命目標,調查:(人物::主人公.主命目標)!=(人物::發生人物),Hero.quest_goal,对象:据点,主命目标（13）,—,T2,13主命,13,同前缀,111
属性,人物,事件参加可能,調查:(人物::前田利家.事件参加可能),Hero.available,布尔,事件参加可能,—,T2,引擎,无,组合判断：活着 且 非俘虏 且 未失踪 且 未外出 / 引擎写（带换算）,2597
属性,人物,人口,"容器排序:(城,人口,降順)",Settlement.population,数字,人口,—,T3,外置仓,lwn_scn_attr,同前缀,7
属性,人物,人物番號,"容器排除:(人物,人物番號,人物Ｃ)",Hero.index,对象:人物,人物番號,—,T3,外置仓,lwn_scn_attr,同前缀,603
属性,人物,仇敵標誌,調查:(人物::ＭＰ主人.仇敵標誌)==(真偽::偽),Hero.flag_nemesis,布尔,仇敵標誌（TK5 拼写：真偽::偽 / 真偽::真 → true/false）,—,T3,外置仓,lwn_scn_attr,同前缀,18
