ID,Desc,AnimDesc
act_conversation_normal_start,常规,
act_conversation_talk_explain,解释,
act_conversation_rage,愤怒,
act_conversation_rage_commenting,愤怒,
act_conversation_threat_point,威胁,用手指
act_conversation_threat_body,威胁,用身体
act_conversation_threat_arm,威胁,用手臂
act_conversation_talk_dunno,不知道,摊手
act_conversation_talk_negative,拒绝,摆手
act_conversation_talk_crossedarms,审视,抱胸
act_conversation_closed_start,封闭,抱胸
act_conversation_talk_promise,保证、发誓,拍胸脯
act_conversation_confident_start,自信,右手叉腰
act_conversation_confident2_start,自信,左手叉腰
act_conversation_hip_start,自信,双手叉腰左倾
act_conversation_hip2_start,自信,双手叉腰右倾
act_conversation_demure_start,端庄、严肃,手放前
act_conversation_demure2_start,严肃、严肃,手背后
act_conversation_nervous_start,紧张,
act_conversation_nervous2_start,紧张,扣手
act_conversation_nervous_unsure,紧张,摊手
act_conversation_nervous_positive,紧张,点头
act_conversation_weary_start,疲倦、受伤,前倾右手撑左手
act_conversation_weary2_start,疲倦、受伤,前倾左手撑右手
act_conversation_weary_positive,疲倦、受伤,
act_conversation_warrior_start,警戒,前倾
act_conversation_warrior2_start,警戒,站直
act_conversation_aggressive_start,挑衅,前倾
act_conversation_aggressive2_start,不屑,身体乱晃
act_conversation_aggressive_unsure,不屑,摊手
act_conversation_aggressive_positive,挑衅,点头示意
act_conversation_aggressive_very_positive,挑衅,大幅点头
act_conversation_normal_positive,同意,点头
act_conversation_normal_very_positive,同意,大幅点头
act_conversation_normal_unsure,不同意,摊手
act_conversation_normal_negative,不同意、拒绝,摆手
act_conversation_normal_very_negative,不同意、拒绝,大幅摆手
act_conversation_normal_trivial,无所谓,摇头晃脑
act_conversation_aggressive_trivial,无所谓,摇头晃脑
act_conversation_aggressive_negative,拒绝,摇头
act_conversation_aggressive_very_negative,拒绝,大幅摇头
