内置番号,卡号,姓名,姓氏提取,匹配类型,骑砍ID,罗马音名,家族,文化,类型,外观模版,生年,登场,终年,死因,父亲,父亲编号,祖父,祖父编号,亲族,仕官倾向,仕官相性,亲密相性,性情,精神,主义,行动,情义,野心,喜好,物欲,饮酒,出身,武具,统率,武力,政务,智谋,魅力,足轻,骑马,火枪,水军,弓术,武艺,军学,忍术,建筑,开垦,矿山,算术,礼法,辩才,茶道,医术,特殊合战卡,秘技卡,称号卡,亲密获取,组合获取,事件获取,流亡之章,姓名,身份,立场,所属势力,所属据点,所属流派,乱麻之章,姓名,身份,立场,所属势力,所属据点,所属流派,日轮之章,姓名,身份,立场,所属势力,所属据点,所属流派,升龙之章,姓名,身份,立场,所属势力,所属据点,所属流派,覇道之章,姓名,身份,立场,所属势力,所属据点,所属流派,转变之章,姓名,身份,立场,所属势力,所属据点,所属流派,浪华之章,姓名,身份,立场,所属势力,所属据点,所属流派,太平之章,姓名,身份,立场,所属势力,所属据点,所属流派,梦幻之章,姓名,身份,立场,所属势力,所属据点,所属流派,事件获取
0,2,青山忠成,青山,需新建,lord_1_aoyamatadaakira,Aoyama Tadanari,,,,,1551,1565,1613,病死,,,,,,只限武将,88,88,温和,胆小,现实,慎重,重视情义,35,书籍,无欲,普通,藤原氏,刀剑,45,40,55,53,38,1,0,1,0,1,0,2,0,1,3,1,2,2,0,0,1,无,强袭,无,无要求,,,未登场,青山忠成,足轻组头,直臣,松平家,冈崎城,无,未登场,青山忠成,足轻组头,陪臣（松平元康）,今川家,冈崎城,无,未登场,青山忠成,浪人,其他,无,冈崎之町,无,已登场,青山忠成,足轻组头,直臣,德川家,冈崎城,无,已登场,青山忠成,足轻组头,直臣,德川家,滨松城,无,已登场,青山忠成,足轻组头,直臣,德川家,滨松城,无,已登场,青山忠成,足轻组头,直臣,德川家,滨松城,无,已登场,青山忠成,足轻大将,直臣,德川家,江户城,无,已登场,青山忠成,大名,首领,青山家,高松城,无,
1,3,赤池长任,赤池,需新建,lord_1_akaike,Akaike Nagatomo,,,,,1530,1554,1579,病死,,,,,,只限武将,60,60,性急,勇敢,普通,普通,重视情义,29,武具,普通,嗜酒如命,其他,刀剑,70,63,43,61,58,2,3,2,1,2,2,3,0,1,0,0,1,1,1,0,0,无,强袭，拔突，刚弓，铁壁,无,无要求,,,已登场,赤池长任,部将,直臣,相良家,人吉城,无,已登场,赤池长任,部将,直臣,相良家,人吉城,无,已登场,赤池长任,部将,直臣,相良家,人吉城,无,已登场,赤池长任,部将,直臣,相良家,人吉城,无,已登场,赤池长任,部将,直臣,相良家,人吉城,无,已死亡,赤池长任,无效,无效,无,无效,无,已死亡,赤池长任,无效,无效,无,无效,无,已死亡,赤池长任,无效,无效,无,无效,无,已登场,赤池长任,部将,直臣,赤穴家,中村城,无,
2,4,赤井直正,赤井,需新建,lord_1_akainaomasa,Akai Naomasa,,,,,1529,1560,1578,战死,,,,,,全职种,44,44,普通,勇敢,普通,普通,普通,57,武具,贪心,嗜酒如命,源氏,枪,72,62,43,56,55,3,2,2,0,1,2,2,1,1,1,1,1,1,0,0,0,无,强袭，拔突，铁壁,无,一般条件,,,已登场,赤井直正,侍大将,直臣,波多野家,八上城,无,已登场,赤井直正,侍大将,直臣,波多野家,八上城,无,已登场,赤井直正,侍大将,直臣,波多野家,八上城,无,已登场,赤井直正,侍大将,直臣,波多野家,八上城,无,已登场,赤井直正,侍大将,直臣,波多野家,八上城,无,已死亡,赤井直正,无效,无效,无,无效,无,已死亡,赤井直正,无效,无效,无,无效,无,已死亡,赤井直正,无效,无效,无,无效,无,已登场,赤井直正,家老,直臣,赤穴家,中村城,无,
3,71,安西又助,安西,需新建,lord_1_anzaimatasuke,Anzai Matasuke,,,,,1556,1570,1619,病死,,,,,,全职种,35,35,性急,普通,理想,轻率,普通,44,南蛮物,贪心,嗜酒如命,平氏,刀剑,56,53,21,39,47,2,0,1,3,2,1,0,1,2,0,0,0,0,1,0,1,进水,强袭，刚弓,无,无要求,,,未登场,安西又助,船大将,直臣,房总水军,冈本之砦,无,未登场,安西又助,船大将,直臣,房总水军,冈本之砦,无,未登场,安西又助,船大将,直臣,房总水军,冈本之砦,无,未登场,安西又助,船大将,直臣,房总水军,冈本之砦,无,已登场,安西又助,船头,直臣,房总水军,冈本之砦,无,已登场,安西又助,船头,直臣,房总水军,冈本之砦,无,已登场,安西又助,船头,直臣,房总水军,冈本之砦,无,已登场,安西又助,头领,首领,房总水军,冈本之砦,无,已登场,安西又助,侍大将,直臣,西园寺家,山形城,无,
4,5,武将,赤尾清纲,赤尾清綱,精确匹配,赤尾清纲,100,lord_1_akao,clan_akao_1,kinai,Akao Kiyotsuna,Akao Kiyotsuna,1514,1554,1573,刀剑,64,70,39,66,41,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,无,强袭,无,,,,,,只限武将,70,70,温和,勇敢,理想,普通,普通,21,书籍,普通,普通,藤原氏,已登场,赤尾清纲,部将,直臣,浅井家,小谷城,无,已登场,赤尾清纲,家老,直臣,浅井家,小谷城,无,已登场,赤尾清纲,家老,直臣,浅井家,小谷城,无,已登场,赤尾清纲,家老,直臣,浅井家,小谷城,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已登场,赤尾清纲,家老,直臣,赤穴家,中村城,无,无要求,,
5,6,武将,明石全登,明石全登,精确匹配,明石全登,100,lord_1_akashi_2,clan_akashi_1,sanyo,Akashi Teruzumi,Akashi Teruzumi,1566,1580,1615,刀剑,60,69,46,56,53,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,2,无,强袭,无,,,,,,全职种,19,19,性急,胆小,理想,轻率,普通,62,南蛮物,贪心,普通,源氏,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,天神山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,天神山城,无,未登场,明石全登,足轻组头,直臣,浦上家,天神山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,天神山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,冈山城,无,已登场,明石全登,足轻组头,直臣,宇喜多家,冈山城,无,已登场,明石全登,足轻组头,直臣,宇喜多家,冈山城,无,已登场,明石全登,侍大将,直臣,宇喜多家,冈山城,无,已登场,明石全登,浪人,其他,无,江户之町,无,一般条件,,
4,5,赤尾清纲,赤尾,精确匹配,lord_1_akao,Akao Kiyotsuna,clan_akao_1,kinai,精确匹配织丰,,1514,1554,1573,战死,,,,,,只限武将,70,70,温和,勇敢,理想,普通,普通,21,书籍,普通,普通,藤原氏,刀剑,64,70,39,66,41,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,无,强袭,无,无要求,,,已登场,赤尾清纲,部将,直臣,浅井家,小谷城,无,已登场,赤尾清纲,家老,直臣,浅井家,小谷城,无,已登场,赤尾清纲,家老,直臣,浅井家,小谷城,无,已登场,赤尾清纲,家老,直臣,浅井家,小谷城,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已死亡,赤尾清纲,无效,无效,无,无效,无,已登场,赤尾清纲,家老,直臣,赤穴家,中村城,无,
7,10,武将,赤松政秀,赤松政秀,姓氏推断,,57,akamatsu_masahide,clan_akamatsu_1,kinai,Akamatsu Masahide,,1510,1554,1570,刀剑,48,58,44,55,46,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,无,强袭,无,,,,,斋村政广,全职种,59,59,普通,普通,理想,轻率,不重情义,61,书籍,贪心,普通,源氏,已登场,赤松政秀,部将,直臣,赤松家,置盐城,无,已登场,赤松政秀,家老,直臣,赤松家,置盐城,无,已登场,赤松政秀,家老,直臣,赤松家,置盐城,无,已登场,赤松政秀,家老,直臣,赤松家,置盐城,无,已死亡,赤松政秀,无效,无效,无,无效,无,已死亡,赤松政秀,无效,无效,无,无效,无,已死亡,赤松政秀,无效,无效,无,无效,无,已死亡,赤松政秀,无效,无效,无,无效,无,已登场,赤松政秀,部将,直臣,赤穴家,中村城,无,无要求,,
8,11,武将,赤松义祐,赤松義祐,精确匹配,赤松义祐,100,lord_1_akamatsu,clan_akamatsu_1,kinai,Akamatsu Yoshisuke,Akamatsu Yoshisuke,1537,1554,1576,刀剑,39,45,51,46,39,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,无,强袭,无,赤松晴政,808,,,赤松晴政,只限武将,59,59,温和,胆小,普通,普通,普通,56,艺术品,贪心,普通,源氏,未登场,赤松义祐,家老,直臣,赤松家,置盐城,无,已登场,赤松义祐,家老,直臣,赤松家,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,置盐城,无,已登场,赤松义祐,大名,首领,赤松家,置盐城,无,已死亡,赤松义祐,无效,无效,无,无效,无,已死亡,赤松义祐,无效,无效,无,无效,无,已死亡,赤松义祐,无效,无效,无,无效,无,已登场,赤松义祐,家老,直臣,赤穴家,中村城,无,一般条件,,
5,6,明石全登,明石,精确匹配,lord_1_akashi_2,Akashi Teruzumi,clan_akashi_1,sanyo,精确匹配织丰,,1566,1580,1615,战死,,,,,,全职种,19,19,性急,胆小,理想,轻率,普通,62,南蛮物,贪心,普通,源氏,刀剑,60,69,46,56,53,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,2,无,强袭,无,一般条件,,,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,天神山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,天神山城,无,未登场,明石全登,足轻组头,直臣,浦上家,天神山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,天神山城,无,未登场,明石全登,足轻组头,陪臣（宇喜多直家）,浦上家,冈山城,无,已登场,明石全登,足轻组头,直臣,宇喜多家,冈山城,无,已登场,明石全登,足轻组头,直臣,宇喜多家,冈山城,无,已登场,明石全登,侍大将,直臣,宇喜多家,冈山城,无,已登场,明石全登,浪人,其他,无,江户之町,无,
10,13,武将,安艺国虎,安藝國虎,精确匹配,安艺国虎,100,lord_1_aki,clan_aki_1,nankai,Aki Kunitora,Aki Kunitora,1530,1554,1569,刀剑,66,60,39,35,34,1,2,1,0,1,1,2,1,1,0,1,0,0,0,0,0,无,强袭,无,,,,,,全职种,40,40,性急,勇敢,理想,轻率,重视情义,67,南蛮物,贪心,嗜酒如命,其他,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已登场,安艺国虎,城主,直臣,一条家,安艺城,无,已死亡,安艺国虎,无效,无效,无,无效,无,已死亡,安艺国虎,无效,无效,无,无效,无,已死亡,安艺国虎,无效,无效,无,无效,无,已死亡,安艺国虎,无效,无效,无,无效,无,已登场,安艺国虎,浪人,其他,无,府内之町,无,无要求,,
6,7,赤穴盛清,赤穴,需新建,lord_1_akanaseikiyo,Akana Sanekiyo,,,,,1529,1554,1595,病死,,,,,,全职种,20,36,温和,胆小,现实,慎重,不重情义,31,艺术品,普通,滴酒不沾,源氏,刀剑,39,45,60,53,36,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,无,强袭,无,无要求,,,已登场,赤穴盛清,侍大将,直臣,尼子家,月山富田城,无,已登场,赤穴盛清,侍大将,直臣,尼子家,月山富田城,无,已登场,赤穴盛清,侍大将,直臣,尼子家,月山富田城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,吉田郡山城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,吉田郡山城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,吉田郡山城,无,已登场,赤穴盛清,侍大将,直臣,毛利家,吉田郡山城,无,已死亡,赤穴盛清,无效,无效,无,无效,无,已登场,赤穴盛清,大名,首领,赤穴家,中村城,无,
7,10,赤松政秀,赤松,姓氏推断,lord_1_akamatsu_masahide,Akamatsu Torashige,clan_akamatsu_1,kinai,家族和文化自动推断,,1510,1554,1570,战死,,,,,斋村政广,全职种,59,59,普通,普通,理想,轻率,不重情义,61,书籍,贪心,普通,源氏,刀剑,48,58,44,55,46,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,无,强袭,无,无要求,,,已登场,赤松政秀,部将,直臣,赤松家,置盐城,无,已登场,赤松政秀,家老,直臣,赤松家,置盐城,无,已登场,赤松政秀,家老,直臣,赤松家,置盐城,无,已登场,赤松政秀,家老,直臣,赤松家,置盐城,无,已死亡,赤松政秀,无效,无效,无,无效,无,已死亡,赤松政秀,无效,无效,无,无效,无,已死亡,赤松政秀,无效,无效,无,无效,无,已死亡,赤松政秀,无效,无效,无,无效,无,已登场,赤松政秀,部将,直臣,赤穴家,中村城,无,
13,16,武将,明智秀满,明智秀滿,精确匹配,明智秀满,100,lord_1_akechi_6,clan_akechi_1,tosan,Akechi Hidemitsu,Akechi Hidemitsu,1537,1554,1582,刀剑,64,57,42,51,73,2,1,2,1,2,1,2,1,2,0,1,2,2,2,2,2,无,强袭，刚弓,无,,,,,,全职种,0,60,普通,勇敢,理想,慎重,重视情义,26,武具,无欲,普通,源氏,未登场,明智秀满,足轻组头,陪臣（明智光秀）,斋藤家,稻叶山城,无,已登场,明智秀满,足轻组头,陪臣（明智光秀）,斋藤家,稻叶山城,无,已登场,明智秀满,足轻组头,陪臣（明智光秀）,朝仓家,一乘谷城,无,已登场,明智秀满,足轻组头,陪臣（明智光秀）,织田家,岐阜城,无,已登场,明智秀满,足轻大将,陪臣（明智光秀）,织田家,坂本城,无,已登场,明智秀满,足轻大将,陪臣（明智光秀）,织田家,丹波龟山城,无,已死亡,明智秀满,无效,无效,无,无效,无,已死亡,明智秀满,无效,无效,无,无效,无,已登场,明智秀满,浪人,其他,无,奈良之町,无,一般条件,,
