角色,模型号,武器正式名,铠甲正式名,头盔正式名,武器Lv1,武器Lv2,武器Lv3,武器Lv4,武器Lv5,日文原表记,依据
Key,Model,WeaponName,ArmorName,HelmetName,W1,W2,W3,W4,W5,JpName,Note
L00_yukimura,L00,十文字枪,绯威赤备具足,六文钱前立兜,十文字枪,赤龙枪,红牙飞燕,炎枪素戋鸣,神枪五十猛尊,十文字槍 ／ 緋糸威 当世具足（赤備） ／ 六文銭前立兜,📖📖十文字枪＝史实爱枪（现传「真田幸村所用十文字枪」）。赤备是武田·真田两家军制。
L01_keiji,L01,二又矛,朱威大袖具足,梅钵前立兜,二又矛,战神乐,豪气皆朱枪,天之琼鉾,天之广矛,二又矛 ／ 朱糸威 大袖具足 ／ 梅鉢前立兜,❔❔前田家纹「梅钵」。庆次以倾奇者装束与巨型旗指物著称。
L02_nobunaga,L02,鬼切,南蛮胴具足,唐冠形兜,鬼切,压切长谷部,妙法千五村正,蛇之麁正,第六天玻璃,鬼切 ／ 南蛮胴具足 ／ 唐冠形兜,🏛📖★Lv1「鬼切」Lv2「压切长谷部」都是实名刀（压切长谷部＝国宝）。南蛮胴具足现存·重要文化财。
L03_mitsuhide,L03,业物,水色桔梗威具足,桔梗前立兜,业物,备前近景,数珠丸恒次,灵剑布都御魂,神剑平国,業物 ／ 水色桔梗威 具足 ／ 桔梗前立兜,❔❔明智家纹「桔梗」、旗印「水色桔梗」。Lv3 数珠丸恒次＝实存太刀（传日莲上人所佩）。
L05_kenshin,L05,七握刀,绀威胴丸,白头巾,七握刀,七支灵刀,姬鹤一文字,天丛云,圆光毗沙门天,七握刀 ／ 紺糸威 胴丸 ／ 白頭巾兜（白綸子頭巾）,📖📖Lv3 姬鹤一文字＝上杉家传来名刀（game-de 作「鹤姬」）。白头巾姿是谦信肖像的著名形象，此处以头巾代兜。
L06_oichi,L06,剑玉·梅,绯地打挂,木瓜前立兜,剑玉·梅,剑美玉·樱,如意宝珠·菫,木花开耶·菊,琉璃弁天·长,劍玉·梅 ／ 緋地 打掛華装束 ／ 木瓜前立兜,❔❔女武将故不着甲胄，用打挂（华服）。织田家纹「木瓜」。
L07_okuni,L07,番伞,巫女装束,巫女头巾,番伞,舞伞,流泉月花,日向天钿女,宝藏吉花天,番傘 ／ 巫女装束（白衣·緋袴） ／ 巫女頭巾,📖📖设定为出云大社巫女出身（白衣·绯袴）。头巾为装束头饰，非武具。武器是舞扇·番伞系。
L09_magoichi,L09,种子岛,八咫乌火绳具足,八咫乌前立兜,种子岛,纪州国友,极乐阿弥陀,狱焰火具土,星阳八咫乌,種子島 ／ 八咫烏 火縄具足 ／ 八咫烏前立兜,❔❔★Lv1 种子岛＝实名火绳枪，Lv2 纪州国友＝实名铁炮锻冶集团。杂贺众旗印为八咫乌。
L100_kojiro,L100,子暗丸,剑客装束,阵笠,子暗丸,暗风刀,物干竿,田道间守刀,神皇产灵刀,子闇丸 ／ 甲冑なし（剣客装束） ／ 陣笠,📖📖★Lv3「物干竿」＝岩流岛长刀传承的原样。本传中为护卫武将，无甲胄。
